,Rank,Prev_rank,Rider_name,Team_name,Points,Time,Year,Weight(kg),Height(m),Age,UAE-Team Emirates,Team Jumbo-Visma,INEOS Grenadiers,AG2R Citroën Team,BORA - hansgrohe,Movistar Team,Astana - Premier Tech,"Cofidis, Solutions Crédits",Bahrain - Victorious,EF Education - Nippo,Groupama - FDJ,Deceuninck - Quick Step,Team BikeExchange,Intermarché - Wanty - Gobert Matériaux,Trek - Segafredo,Team Qhubeka NextHash,B&B Hotels p/b KTM,Team Arkéa Samsic,Alpecin-Fenix,Israel Start-Up Nation,Team DSM,Team TotalEnergies,Lotto Soudal
87,41,41,IZAGIRRE Ion,Movistar Team,25.0,2:00:502:00:50,2014,60.0,1.73,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,69,70,IZAGIRRE Ion,Euskaltel - Euskadi,25.0,2:21:322:21:32,2013,60.0,1.73,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,27,27,KONRAD Patrick,BORA - hansgrohe,65.0,1:27:061:27:06,2021,65.0,1.8,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,35,35,KONRAD Patrick,BORA - hansgrohe,25.0,1:24:351:24:35,2019,65.0,1.8,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,65,65,KONRAD Patrick,Bora - Argon 18,25.0,2:46:322:46:32,2016,65.0,1.8,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,28,28,QUINTANA Nairo,Team Arkéa Samsic,60.0,1:33:111:33:11,2021,59.0,1.67,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
93,17,17,QUINTANA Nairo,Team Arkéa Samsic,130.0,1:03:071:03:07,2020,59.0,1.67,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,8,8,QUINTANA Nairo,Movistar Team,220.0,5:305:30,2019,59.0,1.67,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,10,10,QUINTANA Nairo,Movistar Team,200.0,14:1814:18,2018,59.0,1.67,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,12,12,QUINTANA Nairo,Movistar Team,180.0,15:2815:28,2017,59.0,1.67,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3,3,QUINTANA Nairo,Movistar Team,340.0,4:214:21,2016,59.0,1.67,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,2,QUINTANA Nairo,Movistar Team,380.0,1:121:12,2015,59.0,1.67,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2,2,QUINTANA Nairo,Movistar Team,380.0,4:204:20,2013,59.0,1.67,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,29,30,MEURISSE Xandro,Alpecin-Fenix,55.0,1:40:481:40:48,2021,67.0,1.81,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,21,21,MEURISSE Xandro,Wanty - Gobert Cycling Team,95.0,56:4756:47,2019,67.0,1.81,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,30,29,ALAPHILIPPE Julian,Deceuninck - Quick Step,50.0,1:43:061:43:06,2021,62.0,1.73,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,36,36,ALAPHILIPPE Julian,Deceuninck - Quick Step,25.0,2:19:112:19:11,2020,62.0,1.73,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,5,5,ALAPHILIPPE Julian,Deceuninck - Quick Step,280.0,4:054:05,2019,62.0,1.73,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,33,33,ALAPHILIPPE Julian,Quick-Step Floors,35.0,1:28:081:28:08,2018,62.0,1.73,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,41,41,ALAPHILIPPE Julian,Etixx - Quick Step,25.0,2:00:092:00:09,2016,62.0,1.73,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,31,31,MOHORIČ Matej,Bahrain - Victorious,45.0,1:50:041:50:04,2021,72.0,1.85,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,76,77,MOHORIČ Matej,Bahrain - McLaren,25.0,3:49:023:49:02,2020,72.0,1.85,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,119,119,MOHORIČ Matej,Bahrain Merida,25.0,3:33:433:33:43,2019,72.0,1.85,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,32,33,KUSS Sepp,Team Jumbo-Visma,40.0,",,1:50:04",2021,61.0,1.8,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,15,15,KUSS Sepp,Team Jumbo-Visma,150.0,42:2042:20,2020,61.0,1.8,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,33,32,BUCHMANN Emanuel,BORA - hansgrohe,35.0,1:51:051:51:05,2021,59.0,1.81,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,38,38,BUCHMANN Emanuel,BORA - hansgrohe,25.0,2:21:572:21:57,2020,59.0,1.81,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,4,4,BUCHMANN Emanuel,BORA - hansgrohe,300.0,1:561:56,2019,59.0,1.81,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,15,15,BUCHMANN Emanuel,BORA - hansgrohe,150.0,33:2133:21,2017,59.0,1.81,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,21,21,BUCHMANN Emanuel,Bora - Argon 18,95.0,47:4047:40,2016,59.0,1.81,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,83,83,BUCHMANN Emanuel,Bora - Argon 18,25.0,3:08:473:08:47,2015,59.0,1.81,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,34,35,MAJKA Rafał,UAE-Team Emirates,30.0,1:54:041:54:04,2021,62.0,1.73,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,19,19,MAJKA Rafał,BORA - hansgrohe,110.0,39:5739:57,2018,62.0,1.73,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,27,27,MAJKA Rafał,Tinkoff,65.0,1:04:251:04:25,2016,62.0,1.73,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,28,28,MAJKA Rafał,Tinkoff - Saxo,60.0,1:35:061:35:06,2015,62.0,1.73,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,44,44,MAJKA Rafał,Tinkoff - Saxo,25.0,2:17:532:17:53,2014,62.0,1.73,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,35,36,PACHER Quentin,B&B Hotels p/b KTM,25.0,1:55:341:55:34,2021,62.0,1.79,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,53,54,PACHER Quentin,B&B Hotels - Vital Concept p/b KTM,25.0,2:54:172:54:17,2020,62.0,1.79,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
125,36,34,ELISSONDE Kenny,Trek - Segafredo,25.0,1:56:331:56:33,2021,52.0,1.69,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
126,25,25,ELISSONDE Kenny,Trek - Segafredo,75.0,1:40:061:40:06,2020,52.0,1.69,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
