Name,URL,Weight(kg),Height(m),YOB
PASQUALON Andrea,https://www.procyclingstats.com/rider/Andrea-PASQUALON,68,1.74,1988
DELAPLACE Anthony,https://www.procyclingstats.com/rider/Anthony-DELAPLACE,65,1.81,1989
MOINARD Amaël,https://www.procyclingstats.com/rider/Amaël-MOINARD,69,1.8,1982
TRATNIK Jan,https://www.procyclingstats.com/rider/Jan-TRATNIK,67,1.73,1990
WELLENS Tim,https://www.procyclingstats.com/rider/Tim-WELLENS,71,1.82,1991
OURSELIN Paul,https://www.procyclingstats.com/rider/Paul-OURSELIN,70,1.85,1994
ROSSETTO Stéphane,https://www.procyclingstats.com/rider/Stéphane-ROSSETTO,68,1.8,1987
ROUX Anthony,https://www.procyclingstats.com/rider/Anthony-ROUX,73,1.88,1987
CALMEJANE Lilian,https://www.procyclingstats.com/rider/Lilian-CALMEJANE,69,1.84,1992
BYSTRØM Sven Erik,https://www.procyclingstats.com/rider/Sven-BYSTRØM,70,1.89,1992
EIKING Odd Christian,https://www.procyclingstats.com/rider/Odd-EIKING,75,1.82,1994
GOUGEARD Alexis,https://www.procyclingstats.com/rider/Alexis-GOUGEARD,70,1.76,1993
WÜRTZ SCHMIDT Mads,https://www.procyclingstats.com/rider/SCHMIDT-WÜRTZ,62,1.76,1994
BACKAERT Frederik,https://www.procyclingstats.com/rider/Frederik-BACKAERT,78,1.88,1990
VACHON Florian,https://www.procyclingstats.com/rider/Florian-VACHON,65,1.79,1985
JANSE VAN RENSBURG Reinardt,https://www.procyclingstats.com/rider/VAN-JANSE,74,1.82,1989
DE KORT Koen,https://www.procyclingstats.com/rider/KORT-DE,69,1.79,1982
WIŚNIOWSKI Łukasz,https://www.procyclingstats.com/rider/Łukasz-WIŚNIOWSKI,78,1.81,1991
GONÇALVES José,https://www.procyclingstats.com/rider/José-GONÇALVES,70,1.85,1989
CUMMINGS Steve,https://www.procyclingstats.com/rider/Steve-CUMMINGS,73,1.89,1981
LAMPAERT Yves,https://www.procyclingstats.com/rider/Yves-LAMPAERT,75,1.8,1991
HAGA Chad,https://www.procyclingstats.com/rider/Chad-HAGA,71.5,1.91,1988
SCULLY Tom,https://www.procyclingstats.com/rider/Tom-SCULLY,85,1.88,1990
DE GENDT Aimé,https://www.procyclingstats.com/rider/GENDT-DE,75,1.82,1994
VAN MELSEN Kévin,https://www.procyclingstats.com/rider/MELSEN-VAN,77,1.85,1987
BURGHARDT Marcus,https://www.procyclingstats.com/rider/Marcus-BURGHARDT,75,1.89,1983
MONFORT Maxime,https://www.procyclingstats.com/rider/Maxime-MONFORT,66,1.81,1983
BONNET William,https://www.procyclingstats.com/rider/William-BONNET,80,1.85,1982
GROENEWEGEN Dylan,https://www.procyclingstats.com/rider/Dylan-GROENEWEGEN,70,1.77,1993
HEPBURN Michael,https://www.procyclingstats.com/rider/Michael-HEPBURN,77,1.86,1991
BAK Lars Ytting,https://www.procyclingstats.com/rider/Lars-BAK,76,1.9,1980
RICHEZE Maximiliano,https://www.procyclingstats.com/rider/Maximiliano-RICHEZE,68,1.77,1983
DOWSETT Alex,https://www.procyclingstats.com/rider/Alex-DOWSETT,75,1.82,1988
DEBUSSCHERE Jens,https://www.procyclingstats.com/rider/Jens-DEBUSSCHERE,77,1.84,1989
OFFREDO Yoann,https://www.procyclingstats.com/rider/Yoann-OFFREDO,69,1.89,1986
LANGEVELD Sebastian,https://www.procyclingstats.com/rider/Sebastian-LANGEVELD,67,1.78,1985
FUGLSANG Jakob,https://www.procyclingstats.com/rider/Jakob-FUGLSANG,65,1.81,1985
POZZOVIVO Domenico,https://www.procyclingstats.com/rider/Domenico-POZZOVIVO,53,1.65,1982
NIEVE Mikel,https://www.procyclingstats.com/rider/Mikel-NIEVE,62,1.73,1984
TOLHOEK Antwan,https://www.procyclingstats.com/rider/Antwan-TOLHOEK,61,1.78,1994
CHAVANEL Sylvain,https://www.procyclingstats.com/rider/Sylvain-CHAVANEL,73,1.81,1979
ĐURASEK Kristijan,https://www.procyclingstats.com/rider/Kristijan-ĐURASEK,58,1.7,1987
VICHOT Arthur,https://www.procyclingstats.com/rider/Arthur-VICHOT,74,1.84,1988
NAVARRO Daniel,https://www.procyclingstats.com/rider/Daniel-NAVARRO,60,1.75,1983
TEN DAM Laurens,https://www.procyclingstats.com/rider/DAM-TEN,67,1.84,1980
DEGAND Thomas,https://www.procyclingstats.com/rider/Thomas-DEGAND,63,1.76,1986
HANSEN Jesper,https://www.procyclingstats.com/rider/Jesper-HANSEN,60,1.72,1990
